arquivo,url_original
030_5759bd78-9dd3-4c4d-8a0b-0a709aa4442f_Guararapes_Bronze_183x275cm_2.png,https://images.prismic.io/guararapes/5759bd78-9dd3-4c4d-8a0b-0a709aa4442f_Guararapes_Bronze_183x275cm_2.png
031_6836ec86-0aae-420c-aeab-0614013ef2e7_Guararapes_Alecrim_183x275cm_2.png,https://images.prismic.io/guararapes/6836ec86-0aae-420c-aeab-0614013ef2e7_Guararapes_Alecrim_183x275cm_2.png
032_aAFmN-vxEdbNPNcH_Lanc_E2_95_A0_C2_BAamento_ametista_linha_aris_guararapes_690x490px.png,https://images.prismic.io/guararapes/aAFmN-vxEdbNPNcH_Lanc%E2%95%A0%C2%BAamento_ametista_linha_aris_guararapes_690x490px.png
033_09f34eb1-9755-4c7f-97ea-0e1c5c4d369f_areia_capa.jpg,https://images.prismic.io/guararapes/09f34eb1-9755-4c7f-97ea-0e1c5c4d369f_areia_capa.jpg
034_f19ec867-32da-42f3-bf25-3e2bd6d4a9ec_Aura-Thumb.png,https://images.prismic.io/guararapes/f19ec867-32da-42f3-bf25-3e2bd6d4a9ec_Aura-Thumb.png
035_46b8d5e3-9f66-4d59-a383-3e711b1ab58d_AzulArdosia-Thumb.png,https://images.prismic.io/guararapes/46b8d5e3-9f66-4d59-a383-3e711b1ab58d_AzulArdosia-Thumb.png
036_aAFl_uvxEdbNPNb5_Lanc_E2_95_A0_C2_BAamento_azul_mairnho_linha_aris_guararapes_690x490px.png,https://images.prismic.io/guararapes/aAFl_uvxEdbNPNb5_Lanc%E2%95%A0%C2%BAamento_azul_mairnho_linha_aris_guararapes_690x490px.png
037_2956dbae-92ea-49a4-9e07-10b839999026_teste.jpg,https://images.prismic.io/guararapes/2956dbae-92ea-49a4-9e07-10b839999026_teste.jpg
038_77feaf48-7d61-4992-a308-30000ecdebbc_mdf_brisa_guararapes_thumb.jpg,https://images.prismic.io/guararapes/77feaf48-7d61-4992-a308-30000ecdebbc_mdf_brisa_guararapes_thumb.jpg
039_ead3b817-7035-41ea-992e-db952e1a3ba9_capucino_capa.jpg,https://images.prismic.io/guararapes/ead3b817-7035-41ea-992e-db952e1a3ba9_capucino_capa.jpg
040_71130420-4f15-4298-ba13-56af7aea85b7_CinzaPerfeito-Thumb.png,https://images.prismic.io/guararapes/71130420-4f15-4298-ba13-56af7aea85b7_CinzaPerfeito-Thumb.png
041_6a36f6e3-6812-4fe8-b3a1-b3a5ea8598c5_Guararapes_Cinza-Urbanl_183x275cm_2.png,https://images.prismic.io/guararapes/6a36f6e3-6812-4fe8-b3a1-b3a5ea8598c5_Guararapes_Cinza-Urbanl_183x275cm_2.png
042_7515e75a-59c0-4883-8d7f-ce729f1baebf_Guararapes_Cobre_183x275cm_2.png,https://images.prismic.io/guararapes/7515e75a-59c0-4883-8d7f-ce729f1baebf_Guararapes_Cobre_183x275cm_2.png
043_e7450b0f-245b-4710-9627-b77d6a49f0cc_ErvaMate-Thumb.png,https://images.prismic.io/guararapes/e7450b0f-245b-4710-9627-b77d6a49f0cc_ErvaMate-Thumb.png
044_4712965e-902c-4cdb-a138-80d27f05f366_Guararapes_Fendi_183x275cm_2.png,https://images.prismic.io/guararapes/4712965e-902c-4cdb-a138-80d27f05f366_Guararapes_Fendi_183x275cm_2.png
045_7fa2e39d-de0a-42c2-a8dc-8672bba95e17_Guararapes_Grafite_2.png,https://images.prismic.io/guararapes/7fa2e39d-de0a-42c2-a8dc-8672bba95e17_Guararapes_Grafite_2.png
046_bd95e0fc-128e-4675-b721-a42d29f728bd_Jaspe-Thumb.png,https://images.prismic.io/guararapes/bd95e0fc-128e-4675-b721-a42d29f728bd_Jaspe-Thumb.png
047_ea7c66bd-4a61-447d-8404-cbba3daa0690_mdf_lume_guararapes_thumb.jpg,https://images.prismic.io/guararapes/ea7c66bd-4a61-447d-8404-cbba3daa0690_mdf_lume_guararapes_thumb.jpg
048_b74c032a-4643-422a-ae41-3876376c55f6_Mangue-Thumb.png,https://images.prismic.io/guararapes/b74c032a-4643-422a-ae41-3876376c55f6_Mangue-Thumb.png
049_f220d2aa-cdf7-476a-a237-949392cf8aa8_marsala_capa.jpg,https://images.prismic.io/guararapes/f220d2aa-cdf7-476a-a237-949392cf8aa8_marsala_capa.jpg
050_a03934cf-619b-4d16-b52b-255ee20ae367_maxi-branco_capa.jpg,https://images.prismic.io/guararapes/a03934cf-619b-4d16-b52b-255ee20ae367_maxi-branco_capa.jpg
051_a9525da0-08e2-4b11-97e7-f2d3cdf31b35_Guararapes_Neblina_ChapaThumb-690x490px-a02.png,https://images.prismic.io/guararapes/a9525da0-08e2-4b11-97e7-f2d3cdf31b35_Guararapes_Neblina_ChapaThumb-690x490px-a02.png
052_abb8cb90-5226-4651-890e-81f839430335_Guararapes_Niquel_183x275cm_3.png,https://images.prismic.io/guararapes/abb8cb90-5226-4651-890e-81f839430335_Guararapes_Niquel_183x275cm_3.png
053_bd65fe0c-dd0d-4045-b6a6-3f8cf973d239_Guararapes_Noite_ChapaThumb-690x490px-a02.png,https://images.prismic.io/guararapes/bd65fe0c-dd0d-4045-b6a6-3f8cf973d239_Guararapes_Noite_ChapaThumb-690x490px-a02.png
054_d9598d50-8a85-44a2-901f-eb43046287a3_mdf_nuvem_guararapes_thumb.jpg,https://images.prismic.io/guararapes/d9598d50-8a85-44a2-901f-eb43046287a3_mdf_nuvem_guararapes_thumb.jpg
055_73acc386-d4a8-4f36-a2d8-3e3a61587d28_Guararapes__C3_94nix_183x275cm_2.png,https://images.prismic.io/guararapes/73acc386-d4a8-4f36-a2d8-3e3a61587d28_Guararapes_%C3%94nix_183x275cm_2.png
056_86c7435d-2fca-461f-8e8b-de81473cab44_Platina-Thumb.png,https://images.prismic.io/guararapes/86c7435d-2fca-461f-8e8b-de81473cab44_Platina-Thumb.png
057_1d8878f2-08db-413a-a2be-1c564aa07dd1_Guararapes_Preto-Silk_183x275cm_2.png,https://images.prismic.io/guararapes/1d8878f2-08db-413a-a2be-1c564aa07dd1_Guararapes_Preto-Silk_183x275cm_2.png
058_01c6307b-8bb4-4a2a-bce9-3c81510a323f_PretoTX-thumb.jpg,https://images.prismic.io/guararapes/01c6307b-8bb4-4a2a-bce9-3c81510a323f_PretoTX-thumb.jpg
059_46961cff-664e-4c90-a3b0-5701c1ede68b_Guararapes_Rosa_Millkshake_2.png,https://images.prismic.io/guararapes/46961cff-664e-4c90-a3b0-5701c1ede68b_Guararapes_Rosa_Millkshake_2.png
060_55e55216-18f0-45ef-a683-debe82eeadc6_mdf_brisa_guararapes.jpg,https://images.prismic.io/guararapes/55e55216-18f0-45ef-a683-debe82eeadc6_mdf_brisa_guararapes.jpg
061_57489b06-44ff-424a-9608-14f9bdd84506_mdf_lume_guararapes.jpg,https://images.prismic.io/guararapes/57489b06-44ff-424a-9608-14f9bdd84506_mdf_lume_guararapes.jpg
062_a57cb537-4deb-4e91-8449-ce5afb330435_RUCMaxiBranco-690x490.png,https://images.prismic.io/guararapes/a57cb537-4deb-4e91-8449-ce5afb330435_RUCMaxiBranco-690x490.png
063_bc9ebe28-1154-48a9-afe3-b57fa6de300d_mdf_nuvem_guararapes.jpg,https://images.prismic.io/guararapes/bc9ebe28-1154-48a9-afe3-b57fa6de300d_mdf_nuvem_guararapes.jpg
064_bb391739-2e34-4e12-a579-3401a0e328be_Tecno-Thumb.png,https://images.prismic.io/guararapes/bb391739-2e34-4e12-a579-3401a0e328be_Tecno-Thumb.png
065_4ca557e7-ae86-4e39-87a4-8dc46318818c_Terrino-Thumb.png,https://images.prismic.io/guararapes/4ca557e7-ae86-4e39-87a4-8dc46318818c_Terrino-Thumb.png
