marca,nome_cor,preco_painel,url_imagem
guararapes,MDF Cobre,320,https://images.prismic.io/guararapes/12e0d99d-8c9f-4d1f-91f0-3f052f79877d_guararapes-produtos-cobre.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Nero,320,https://images.prismic.io/guararapes/d51f1071-04f6-450d-a0bb-ec5a37cd2149_guararapes-produtos-nero.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Savana,320,https://images.prismic.io/guararapes/99ce8fbc-8212-45fc-89eb-4bb67d799859_guararapes-produtos-savana.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Capuccino,320,https://images.prismic.io/guararapes/0060846e-f527-4b58-9ccb-8d2986783f78_guararapes-produtos-capuccino.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Araucária,320,https://images.prismic.io/guararapes/ff3d7e41-2d84-4646-bdce-84da916a63c7_guararapes-produtos-araucaria.png?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Cinza Urban,320,https://images.prismic.io/guararapes/b081ed7c-b40c-4f11-b60c-3eec52b983cd_guararapes-produtos-cinza-urban.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Corten,320,https://images.prismic.io/guararapes/4d2650f0-8fe9-4dc4-87ca-f01190306f6f_guararapes-produtos-corten.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Neblina,320,https://images.prismic.io/guararapes/eba99548-be11-45cf-b072-6ba3de5acdbf_guararapes-produtos-neblina.png?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Areia,320,https://images.prismic.io/guararapes/007726a1-090c-4447-92ec-e66d97060ed0_guararapes-produtos-areia.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Alecrim,320,https://images.prismic.io/guararapes/69e7098e-5c1d-409f-97c3-23e1e3f6475a_guararapes-produtos-alecrim.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Imbuia,320,https://images.prismic.io/guararapes/8d73625f-6cee-4f97-af74-a19d4c1ad5d1_guararapes-produtos-imbuia.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
guararapes,MDF Rosa Milkshake,320,https://images.prismic.io/guararapes/508038fe-fbbf-4c3c-8796-5595914d7a7b_guararapes-produtos-rosa-milkshake.jpg?ixlib=gatsbyFP&auto=compress%2Cformat&fit=max&q=50
