marca,nome_cor,preco_painel,url_imagem,url_produto
duratex,Cinza Sagrado - Linha Essencial,330,https://www.duratexmadeira.com.br/assets/2019/08/Cinza-Sagrado_Essencial_3026x2160px-590x370.jpg,https://www.duratexmadeira.com.br/produtos/cinza-sagrado-linha-essencial/
duratex,Mint,330,https://www.duratexmadeira.com.br/assets/2019/08/mint-carvalho-luar-portoro-590x370px.jpg,https://www.duratexmadeira.com.br/produtos/mint/
duratex,Noce Amêndoa,330,https://www.duratexmadeira.com.br/assets/2019/08/noce-amendoa-portoro-eclipse-590x370px.jpg.webp,https://www.duratexmadeira.com.br/produtos/noce-amendoa/
duratex,Noce Mare,330,https://www.duratexmadeira.com.br/assets/2019/08/noce-mare-steel-arenito-590x370px.jpg.webp,https://www.duratexmadeira.com.br/produtos/noce-mare/
duratex,Pérola Urbana,330,https://www.duratexmadeira.com.br/assets/2017/06/perola-urbana-padrao-essencial-976x468-1.jpg,https://www.duratexmadeira.com.br/produtos/perola-urbana/
duratex,Pinole,330,https://www.duratexmadeira.com.br/assets/2021/06/S_Ambiente_Essencial_Pinole.png.webp,https://www.duratexmadeira.com.br/produtos/pinole/
duratex,Portoro,330,https://www.duratexmadeira.com.br/assets/2019/08/portoro-carvalho-luar-croma-590x370px.jpg.webp,https://www.duratexmadeira.com.br/produtos/portoro/
duratex,Prata,330,https://www.duratexmadeira.com.br/assets/2019/08/prata-thassos-eclipse-590x370px.jpg.webp,https://www.duratexmadeira.com.br/produtos/prata/
duratex,Rosa Infinito,330,https://www.duratexmadeira.com.br/assets/2021/06/S_Ambiente_Essencial_Rosa-Infinito.png.webp,https://www.duratexmadeira.com.br/produtos/rosa-infinito/
duratex,Thassos,330,https://www.duratexmadeira.com.br/assets/2019/08/thassos-nobile-metropole-590x370px.jpg.webp,https://www.duratexmadeira.com.br/produtos/thassos/
duratex,Amêndola Rústica,330,https://www.duratexmadeira.com.br/assets/2019/08/Amendola-Rustica_Duna_2880x2160x-scaled.jpg.webp,https://www.duratexmadeira.com.br/produtos/amendola-rustica/
duratex,Larnaca,330,https://www.duratexmadeira.com.br/assets/2019/08/slider-ambiente-larnaca.png.webp,https://www.duratexmadeira.com.br/produtos/larnaca-linha-prisma/
duratex,Riviera,330,https://www.duratexmadeira.com.br/assets/2019/08/riviera-hong-kong-gobi-590x370px.jpg,https://www.duratexmadeira.com.br/produtos/riviera/
duratex,Azul Astral,330,https://www.duratexmadeira.com.br/assets/2022/02/590x370-azul-astral.jpg.webp,https://www.duratexmadeira.com.br/produtos/azul-astral/
duratex,Verde Floresta,330,https://www.duratexmadeira.com.br/assets/2022/03/590x370-verde-floresta.jpg.webp,https://www.duratexmadeira.com.br/produtos/verde-floresta/
duratex,Ocre Solar,330,https://www.duratexmadeira.com.br/assets/2022/02/590x370-ocre-solar.jpg,https://www.duratexmadeira.com.br/produtos/ocre-solar/
duratex,Oásis,330,https://www.duratexmadeira.com.br/assets/2022/02/Duratex_Ambiente-Oasis_590x370px.jpg,https://www.duratexmadeira.com.br/produtos/oasis/
duratex,Palha,330,https://www.duratexmadeira.com.br/assets/2022/02/Duratex_Ambiente-Palha_590x370px.jpg,https://www.duratexmadeira.com.br/produtos/palha/
